"PVWatts Hourly PV Performance Data"
"Requested Location","94568, USA"
"Location","Lat, Lng: 37.69, -121.9"
"Latitude (DD)","37.69"
"Longitude (DD)","-121.90"
"Elevation (m)","100.84999847412"
"DC System Size (kW)","34.5"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"10","13","18","0","0","16","1.6","0.13","0","16","0","0"
"10","13","19","0","0","15","1.7","0.13","0","15","0","0"
"10","13","20","0","0","14","1.2","0.13","0","14","0","0"
"10","13","21","0","0","13","0.9","0.13","0","13","0","0"
"10","13","22","0","0","13","0.9","0.13","0","13","0","0"
"10","13","23","0","0","13","1","0.13","0","13","0","0"
"10","14","0","0","0","12","1.1","0.13","0","12","0","0"
"10","14","1","0","0","12","1","0.13","0","12","0","0"
"10","14","2","0","0","12","1","0.13","0","12","0","0"
"10","14","3","0","0","12","1","0.13","0","12","0","0"
"10","14","4","0","0","11","1","0.13","0","11","0","0"
"10","14","5","0","0","11","1","0.13","0","11","0","0"
"10","14","6","0","20","12","1.1","0.13","19.026","12.483","333.792","185.222"
"10","14","7","614","49","15","1.2","0.13","269.065","22.722","7537.845","7134.007"
"10","14","8","0","127","18","1.3","0.13","120.613","21.424","3465.899","3206.346"
"10","14","9","854","76","20","1.3","0.13","703.73","40.048","19872.644","19031.734"
"10","14","10","893","83","23","1.5","0.13","843.981","45.92","23100.055","22144.785"
"10","14","11","911","85","25","1.7","0.13","912.968","48.706","24606.754","23598.096"
"10","14","12","909","85","26","1.9","0.13","904.646","48.521","24413.173","23411.374"
"10","14","13","874","87","27","2","0.13","814.126","46.877","22223.24","21299.039"
"10","14","14","826","80","27","2.1","0.13","664.231","42.927","18566.594","17771.963"
"10","14","15","731","68","26","2.2","0.13","452.808","36.666","13019.985","12421.892"
"10","14","16","529","46","23","1.7","0.13","210.183","28.317","5473.538","5142.846"
"10","14","17","0","0","19","1.2","0.13","0","0","0","0"
"10","14","18","0","0","17","1.1","0.13","0","17","0","0"
"10","14","19","0","0","16","0.9","0.13","0","16","0","0"
"10","14","20","0","0","15","0.8","0.13","0","15","0","0"
"10","14","21","0","0","14","0.8","0.13","0","14","0","0"
"10","14","22","0","0","14","0.8","0.13","0","14","0","0"
"10","14","23","0","0","14","0.8","0.13","0","14","0","0"
"10","15","0","0","0","13","0.8","0.13","0","13","0","0"
"10","15","1","0","0","12","0.8","0.13","0","12","0","0"
"10","15","2","0","0","12","0.9","0.13","0","12","0","0"
"10","15","3","0","0","12","0.9","0.13","0","12","0","0"
"10","15","4","0","0","12","0.9","0.13","0","12","0","0"
"10","15","5","0","0","12","0.9","0.13","0","12","0","0"
"10","15","6","144","13","13","1.1","0.13","25.393","13.545","337.767","189.055"
"10","15","7","565","55","15","1.3","0.13","258.984","22.26","7266.955","6872.715"
"10","15","8","752","71","18","1.2","0.13","498.929","32.591","14606.267","13951.966"
"10","15","9","836","80","21","1.2","0.13","697.824","41.36","19600.671","18769.399"
"10","15","10","889","80","24","1.7","0.13","835.202","45.706","22890.344","21942.506"
"10","15","11","514","239","27","2.1","0.13","730.704","44.436","19942.798","19099.402"
"10","15","12","894","85","28","2.2","0.13","888.831","48.838","23966.281","22980.317"
"10","15","13","872","81","27","2.4","0.13","803.189","45.144","22094.873","21175.221"
"10","15","14","821","75","27","2.6","0.13","652.692","41.24","18378.04","17590.09"
"10","15","15","737","61","26","2.7","0.13","446.019","35.574","12875.356","12282.388"
"10","15","16","535","42","24","2","0.13","206.165","28.89","5321.527","4996.221"
"10","15","17","0","0","20","1.4","0.13","0","20","0","0"
"10","15","18","0","0","18","1.6","0.13","0","18","0","0"
"10","15","19","0","0","16","1.8","0.13","0","16","0","0"
"10","15","20","0","0","16","1.5","0.13","0","16","0","0"
"10","15","21","0","0","16","1.2","0.13","0","16","0","0"
"10","15","22","0","0","15","1.2","0.13","0","15","0","0"
"10","15","23","0","0","15","1.2","0.13","0","15","0","0"
"10","16","0","0","0","15","1.2","0.13","0","15","0","0"
"10","16","1","0","0","15","1.3","0.13","0","15","0","0"
"10","16","2","0","0","15","1.2","0.13","0","15","0","0"
"10","16","3","0","0","14","1.1","0.13","0","14","0","0"
"10","16","4","0","0","14","1.2","0.13","0","14","0","0"
"10","16","5","0","0","14","1.3","0.13","0","14","0","0"
"10","16","6","169","11","15","1.9","0.13","24.448","15.425","308.667","160.987"
"10","16","7","602","44","18","2.5","0.13","258.159","23.633","7171.755","6780.888"
"10","16","8","766","58","20","2.8","0.13","490.921","30.358","14508.398","13857.565"
"10","16","9","845","66","23","3.1","0.13","682.566","36.655","19555.386","18725.718"
"10","16","10","879","74","25","3.3","0.13","818.01","40.811","22883.343","21935.752"
"10","16","11","899","77","27","3.4","0.13","888.507","43.889","24453.832","23450.593"
"10","16","12","901","77","28","3.6","0.13","883.407","44.281","24286.475","23289.165"
"10","16","13","867","81","29","3.8","0.13","796.541","43.258","22089.414","21169.956"
"10","16","14","822","75","28","3.9","0.13","650.883","39.503","18462.347","17671.41"
"10","16","15","726","64","27","3.8","0.13","441.575","34.931","12767.874","12178.714"
"10","16","16","526","43","24","3.4","0.13","203.198","27.752","5250.969","4928.164"
"10","16","17","0","0","20","2.9","0.13","0","20","0","0"
"10","16","18","0","0","18","2.5","0.13","0","18","0","0"
"10","16","19","0","0","16","2","0.13","0","16","0","0"
"10","16","20","0","0","15","1.5","0.13","0","15","0","0"
"10","16","21","0","0","15","1","0.13","0","15","0","0"
"10","16","22","0","0","15","0.9","0.13","0","15","0","0"
"10","16","23","0","0","15","1.1","0.13","0","15","0","0"
"10","17","0","0","0","14","1.2","0.13","0","14","0","0"
"10","17","1","0","0","14","1.3","0.13","0","14","0","0"
"10","17","2","0","0","13","1.3","0.13","0","13","0","0"
"10","17","3","0","0","12","1.2","0.13","0","12","0","0"
"10","17","4","0","0","12","1.2","0.13","0","12","0","0"
"10","17","5","0","0","12","1.2","0.13","0","12","0","0"
"10","17","6","201","11","13","1.4","0.13","25.586","13.49","321.691","173.55"
"10","17","7","669","44","16","2","0.13","279.934","22.722","7802.259","7389.051"
"10","17","8","832","59","20","2.5","0.13","523.979","31.667","15426.756","14743.382"
"10","17","9","910","68","23","2.9","0.13","729.402","38.093","20786.115","19912.837"
"10","17","10","949","73","26","3","0.13","872.754","43.724","24126.72","23135.071"
"10","17","11","964","75","28","3.1","0.13","941.312","46.784","25594.647","24550.984"
"10","17","12","961","75","29","3.2","0.13","931.131","47.28","25280.797","24248.255"
"10","17","13","929","77","30","3.1","0.13","839.38","46.769","22951.049","22001.059"
"10","17","14","881","70","30","2.8","0.13","678.793","44.298","18901.178","18094.691"
"10","17","15","788","60","29","2.1","0.13","465.889","40.188","13196.395","12592.051"
"10","17","16","561","42","25","1.3","0.13","210.568","30.803","5347.469","5021.244"
"10","17","17","0","0","22","1.1","0.13","0","22","0","0"
"10","17","18","0","0","20","1.1","0.13","0","20","0","0"
"10","17","19","0","0","19","1","0.13","0","19","0","0"
"10","17","20","0","0","19","0.7","0.13","0","19","0","0"
"10","17","21","0","0","19","0.5","0.13","0","19","0","0"
"10","17","22","0","0","19","0.6","0.13","0","19","0","0"
"10","17","23","0","0","18","0.9","0.13","0","18","0","0"
"10","18","0","0","0","17","1.1","0.13","0","17","0","0"
"10","18","1","0","0","17","1.2","0.13","0","17","0","0"
"10","18","2","0","0","16","1.3","0.13","0","16","0","0"
"10","18","3","0","0","15","1.3","0.13","0","15","0","0"
"10","18","4","0","0","15","1.3","0.13","0","15","0","0"
"10","18","5","0","0","15","1.3","0.13","0","15","0","0"
"10","18","6","112","10","16","1.1","0.13","17.074","16.377","228.187","83.359"
"10","18","7","605","49","19","1.3","0.13","263.831","26.382","7240.191","6846.9"
"10","18","8","778","67","23","1.5","0.13","504.816","36.769","14550.227","13897.912"
"10","18","9","860","78","27","1.7","0.13","703.221","45.313","19458.492","18632.257"
"10","18","10","894","87","30","2.6","0.13","840.822","48.307","22812.3","21867.227"
"10","18","11","912","90","31","3.6","0.13","909.826","47.767","24644.324","23634.334"
"10","18","12","910","90","32","4.5","0.13","900.752","46.594","24530.567","23524.609"
"10","18","13","896","83","31","4.8","0.13","816.882","43.736","22621.317","21683.011"
"10","18","14","842","77","30","4.6","0.13","661.647","40.61","18697.749","17898.47"
"10","18","15","737","65","28","4.1","0.13","443.788","35.628","12781.294","12191.659"
"10","18","16","510","43","25","2.8","0.13","195.883","28.987","4993.158","4679.488"
"10","18","17","0","0","21","1.6","0.13","0","21","0","0"
"10","18","18","0","0","19","1.4","0.13","0","19","0","0"
"10","18","19","0","0","18","1.4","0.13","0","18","0","0"
"10","18","20","0","0","18","1.4","0.13","0","18","0","0"
"10","18","21","0","0","17","1.3","0.13","0","17","0","0"
"10","18","22","0","0","17","1.2","0.13","0","17","0","0"
"10","18","23","0","0","17","1.2","0.13","0","17","0","0"
"10","19","0","0","0","17","1.2","0.13","0","17","0","0"
"10","19","1","0","0","16","1.1","0.13","0","16","0","0"
"10","19","2","0","0","16","1","0.13","0","16","0","0"
"10","19","3","0","0","16","0.9","0.13","0","16","0","0"
"10","19","4","0","0","16","0.8","0.13","0","16","0","0"
"10","19","5","0","0","16","0.8","0.13","0","16","0","0"
"10","19","6","59","9","17","1","0.13","12.096","17.29","173.036","30.161"
"10","19","7","500","58","19","1.6","0.13","237.402","25.209","6542.295","6173.732"
"10","19","8","695","80","21","2.3","0.13","474.127","31.955","13904.485","13275.05"
"10","19","9","797","90","23","2.7","0.13","674.419","37.447","19254.335","18435.335"
